timestamp,elapsed_sec,event_type,severity,message
21:09:03,441.4,NO_FACE,CRITICAL,No face detected in frame
21:09:06,444.6,NO_FACE,CRITICAL,No face detected in frame
21:09:09,447.7,NO_FACE,CRITICAL,No face detected in frame
21:09:12,450.8,NO_FACE,CRITICAL,No face detected in frame
21:09:16,454.1,NO_FACE,CRITICAL,No face detected in frame
21:09:19,457.3,NO_FACE,CRITICAL,No face detected in frame
21:09:22,460.5,NO_FACE,CRITICAL,No face detected in frame
21:09:25,463.5,NO_FACE,CRITICAL,No face detected in frame
21:09:28,466.6,NO_FACE,CRITICAL,No face detected in frame
21:09:31,469.7,NO_FACE,CRITICAL,No face detected in frame
21:09:34,472.8,NO_FACE,CRITICAL,No face detected in frame
21:09:37,476.0,NO_FACE,CRITICAL,No face detected in frame
21:09:41,479.2,NO_FACE,CRITICAL,No face detected in frame
21:09:44,482.2,NO_FACE,CRITICAL,No face detected in frame
21:09:47,485.5,NO_FACE,CRITICAL,No face detected in frame
21:09:50,488.7,NO_FACE,CRITICAL,No face detected in frame
21:09:53,491.8,NO_FACE,CRITICAL,No face detected in frame
21:09:56,495.0,NO_FACE,CRITICAL,No face detected in frame
21:10:00,498.2,NO_FACE,CRITICAL,No face detected in frame
21:10:03,501.3,NO_FACE,CRITICAL,No face detected in frame
21:10:06,504.7,NO_FACE,CRITICAL,No face detected in frame
21:10:09,508.0,NO_FACE,CRITICAL,No face detected in frame
21:10:13,511.3,NO_FACE,CRITICAL,No face detected in frame
21:10:16,514.6,NO_FACE,CRITICAL,No face detected in frame
21:10:19,517.6,NO_FACE,CRITICAL,No face detected in frame
21:10:22,520.8,NO_FACE,CRITICAL,No face detected in frame
21:10:26,524.0,NO_FACE,CRITICAL,No face detected in frame
21:10:29,527.2,NO_FACE,CRITICAL,No face detected in frame
21:10:32,530.3,NO_FACE,CRITICAL,No face detected in frame
21:11:10,568.0,NO_FACE,CRITICAL,No face detected in frame
21:11:13,571.1,NO_FACE,CRITICAL,No face detected in frame
21:12:51,669.5,NO_FACE,CRITICAL,No face detected in frame
21:12:54,672.5,NO_FACE,CRITICAL,No face detected in frame
21:12:57,675.7,NO_FACE,CRITICAL,No face detected in frame
21:13:00,678.9,NO_FACE,CRITICAL,No face detected in frame
21:13:04,682.1,NO_FACE,CRITICAL,No face detected in frame
21:13:07,685.3,NO_FACE,CRITICAL,No face detected in frame
21:13:10,688.3,NO_FACE,CRITICAL,No face detected in frame
21:13:13,691.4,NO_FACE,CRITICAL,No face detected in frame
21:13:16,694.5,NO_FACE,CRITICAL,No face detected in frame
21:13:19,697.7,NO_FACE,CRITICAL,No face detected in frame
21:13:22,700.7,NO_FACE,CRITICAL,No face detected in frame
